"Titel";"ISBN";"Verfasser";"PPN";"Jahr" 
"¬Die¬ Olchis werden Fußballmeister";"3789106291";"Erhard Dietl ; Titelbild und farbige Illustrationen: Erhard Dietl";"50525302X";"2006";
"Entwicklung ist messbar : Zwischenbericht der wissenschaftlichen Begleitforschung zum Projekt "Selbstständige Schule"";"3-427-33304-3";"Institut für Schulentwicklungsforschung, Universität Dortmund ... Heinz Günter Holtappels ...";"1627285687";"2006";
"Aufgabenstellungen im Deutschunterricht : eine Anleitung zur Formulierung verständlicher schriftlicher Aufgaben in der gymnasialen Oberstufe aus Sicht der Sprachwissenschaften";"9783825896508";"Stefanie Schäfers";"513286098";"2006";
"Qualitätskontrolle im Kindergarten? : kritische Untersuchung von Handlungsansätzen zur Qualitätsbestimmung und Qualitätssicherung";"3-86585-201-7";"Bernd Franken";"477544363";"2006";
"Schule und Sachunterricht in Ost- und Westdeutschland : Vergleich der Bundesländer Niedersachsen und Mecklenburg-Vorpommern";"3835060430";"Silke Pfeiffer";"1626796890";"2006";
"Thinking and reasoning with data and chance";"9780873535885";"Gail F. Burrill; Portia C. Elliott";"507455541";"2006";
"kubim. - [Buch]. Künste - Medien - Kompetenzen : Abschlussbericht zum BLK-Programm "Kulturelle Bildung im Medienzeitalter"";"3-930395-75-4";"vorgelegt vom Zentrum für Kulturforschung; [Autoren des Endberichts: Annette Brinkmann ...]";"132575689X";"2006";
"Lebenslänglich hochbegabt : was Hochbegabte erleben, welche Förderung sie sich wünschen und welche nicht";"9783865823137";"Ingrun Führlich";"515921238";"2006";
"Risikofaktoren bei Jugendlichen und ihre Auswirkungen auf das Leben im Erwachsenenalter : eine Sekundäranalyse der Zürcher Längsschnittstudie "Von der Schulzeit bis zum mittleren Erwachsenenalter" (ZLSE)";"9783908262749";"Claudia Spiess Huldi; Kurt Häfeli und Peter Rüesch";"515928402";"2006";
"Lernkontrollen Mathematik : 1. und 2. Schuljahr; [mit Kopiervorlagen]";"3834436674";"Marco Bettner";"1601136315";"2006";
"Amadeus legt los : ein kleines Mozart-Musical für Grundschule und Sekundarstufe. - Buch.";"9783403046523";"Lutz Schäfer ; Thekla Schäfer";"1325815578";"2006";
"Bilden und Erziehen : pädagogische Themen, Gestalten und Epochen";"9783403046608";"Urs Peter Lattmann; Peter Metz";"513391770";"2006";
"Hausaufgaben in der Grundschule : die Bedeutung zeitlicher Aspekte und Auswirkungen eines selbstregulatorischen Trainings";"9783865379214";"vorgelegt von Klaus Oberleiter";"516452835";"2006";
""Friendly Fire" im Kinderzimmer : was Kinder und Jugendliche an gewalthaltigen Computerspielen fasziniert: Motivation, Konsequenzen, Perpektiven";"9783865501875";"Stefan Gesmann";"509772617";"2006";
"Französische Kinderlieder : Materialien für den Fremdsprachenfrühbeginn in Kindergarten und Vorschule";"3403046060";"Norbert Huppertz";"506298698";"2006";
"Reflexion der Praxis - Praxis wissenschaftlicher Reflexion : Methoden der Selbstevaluation zur Qualitätssicherung nach dem EFQM-Modell: Peer-Review, Schülerzufriedenheit und Lehrerforschung im Fach Gesundheitswissenschaften am Bielefelder Oberstufen-Kolleg";"9783825890988";"Gerlinde Günther-Boemke";"506729680";"2006";
"Lernen und neue Medien";"3939469114";"Universität Potsdam, Zentrum für Lehrerbildung [Hrsg.]";"514915897";"2006";
"Circus - Bewegungskünste - mit Kindern";"3-89535-411-2";"Bettina Bardell / Arne Schulz";"517985314";"2006";
"L'apprentissage précoce d'une langue étrangère : le point de vue de la psycholinguistique";"2011708494";"Daniel Gaonac'h";"1601395302";"2006";
"Metaphors, similes, and other word pictures";"1-58341-340-5";"Jennifer Fandel";"1627036962";"2006";
"Margaret Atwood, The handmaid's tale";"9783140412087";"by Wiltrud Frenken and Angela Luz";"516046950";"2006";
"Auswirkungen der Tätigkeit von Schülerstreitschlichtern : Fallstudie an einer Mittelschule im Kontext des Standes von Mediationsprojekten in Sachsen";"3828891624";"Christiane Hartig";"518965791";"2006";
"Wetter : Klimaphänomene in spektakulären Bildern";"3806729484";"Storm Dunlop. Mit einem Vorw. von Jörg Kachelmann. Aus dem Engl. von Jorunn Wissmann und Werner Horwath";"511984766";"2006";
"Portfolio im Deutschunterricht : Themenportfolios für die 5. bis 9. Schulstufe mit CD-ROM ; [Bildgeschichten, Sagen, Balladen, Krimis, Familie, Bücherideen]";"9783705872622";"Margrit Köllbichler";"504129406";"2006";
"Testing for language teachers";"0521484952";"Arthur Hughes";"1601430841";"2006";
"Bridging diversity : an early childhood curriculum ; [Berliner Bildungsprogramm]";"3937785469";"Roger Prott ... (eds.). [Authors: Annette Dreier ... Transl.: Ann Robertson]";"516447319";"2006";
"Rock, Pop - Amen?! : christlicher Glaube und zeitgenössische Musik";"9783830916604";"Ute Flink";"516034812";"2006";
"Demokratie durch Handeln lernen : Beiträge und erprobte Materialien zur Demokratieerziehung an Schulen";"";"[Autoren dieses Heftes Edelstein, Wolfgang ... Red. Horst Lost ...]";"1325959162";"2006";
"Öffnungen : Tagungsband des 23. Polyaisthesis-Symposions auf Schloss Drosendorf";"3631536569";"Michaela Schwarzbauer (Hrsg.)";"515607169";"2006";
"Abenteuer macht Schule : Projektdokumentation : Umweltbildungsangebote mit erlebnispädagogischen Elementen für Hauptschülerinnen und Hauptschüler zu den themen Wald, Gewässer, Wiese und Naturschutzgebiet";"978-3-89569-071-6";"Kirsa Weidemann. Hrsg.: Frank Corleis. Mit e. Einl. von Jörg W. Ziegenspeck";"1328129454";"2006";
"¬Die¬ dienstliche Beurteilung von Lehrpersonen : Grundlagen, Konzepte, aktuelle Instrumente der Beurteilung";"3865508006";"Markus Gräble";"519194128";"2006";
"Bildung - Promotor von Gleichheit oder Ungleichheit? : Protokollband zum 10. Glöckel-Symposion";"3825899640";"[Veranst. des Symposions: Stadtschulrat für Wien ...]. Oskar Achs ... (Hg.)";"51835203X";"2006";
"Cool mit Nic Panda : Training für Kinder mit Schul- und Prüfungsangst";"9783938187135";"Despina Muth-Seidel; Detlef Seidel";"497615169";"2006";
"¬Der¬ Bauernhof als erlebnispädagogischer Lernort : eine wissenschaftliche Studie";"3895690724";"Anja Marquardt";"518362108";"2006";
"Zukunftsschulen : das Werkbuch Zukunftsschulen im Wohnquartier ; Pädagogen, Sozialarbeiterinnen, Schüler, Wissenschaftlerinnen, Erzieher, Architektinnen, Ingenieure, Unternehmerinnen und Landschaftsplaner entwickeln Grundlagen, Ideen und Räume für Schulen der Zukunft";"3898616223";"hrsg. von Gaby Grimm. [Ill.: Helge Windisch]";"517437562";"2006";
"Paarbeziehung und Identität : ein sozialpädagogischer Blick auf Wirklichkeit und Bedeutung des Lebens zu zweit";"3938203315";"Klaus Schmidt; Hrsg. Ralf Koerrenz";"518351920";"2006";
"Zwischen Bildungsauftrag und Quotendruck : crossmediale Wege aus der Bildungskrise";"9783865731784";"Eike Quilling";"516046187";"2006";
"Pluspunkt Mathematik : für die Hauptschule. - 1, [Schülerbuch]. [Klasse 5]";"3464522121";"";"1328228614";"2006";
"Schulische Leistungsbeurteilung : rechtliche Grundlagen und pädagogische Hilfestellungen für die Schulpraxis";"9783854879848";"von Georg Hans Neuweg";"51268233X";"2006";
"Kindergerechtigkeit : Ideen zur kindgerechten Forschung";"9783865509628";"Olaf Rüsing";"518968111";"2006";
"Kunstgeschichte praktisch : Bauen, Malen und Gestalten von der Steinzeit bis zum Barock";"3834601756";"Gerlinde Blahak";"1602218412";"2006";
"Günter Grass: Im Krebsgang";"9783140223218";"erarb. von Olaf Hildebrand. Hrsg. von Johannes Diekhans";"522348459";"2006";
"Pluspunkt Mathematik : für die Hauptschule. - 2, [Schülerbuch]. [Klasse 6]";"3-464-52213-X";"";"1331512875";"2006";
"Theodor Fontane, Irrungen, Wirrungen";"9783140223881";"erarb. von Michael Fuchs. Hrsg. von Johannes Diekhans";"1603337857";"2006";
"Pluspunkt Mathematik : für die Hauptschule. - 3, [Schülerbuch]. [Klasse 7]";"3-464-52217-2";"";"1331514029";"2006";
"¬Die¬ Kunst des Betrachters : Jugendsoziologie, Kinderfilm und Medienkompetenz ; Festschrift für Dieter Wiedemann";"9783865831316";"Hans-Jörg Stiehler/Lothar Mikos (Hrsg.)";"523927878";"2006";
"Wie man Vorstellungen der Lerner verstehen kann : Lebenswelten, Denkwelten, Sprechwelten";"3814220129";"Harald Gropengießer. Didaktisches Zentrum, Carl-von-Ossietzky-Universität Oldenburg";"1332035566";"2006";
"Bildung schafft Zukunft : 1. Innsbrucker Bildungstage, 17. - 18. November 2005";"3901249877";"Hrsg.: Heidi Möller. [AutorInnen: Gertraud Awecker ...]";"525132155";"2006";
"Kultur macht Schule : Reflexionen >> Positionen";"9783924407827";"[Hrsg.: Bundesvereinigung Kulturelle Kinder- und Jugendbildung e.V. Red.: Ina Bielenberg; Viola Kelb]";"525895051";"2006";
"Griechische Geschichte erzählt";"9783534200191";"Klaus Rosen";"160264778X";"2006";
"Plädoyer für eine offene Pädagogik der Achtsamkeit : zur Zukunft des Offenen Kindergartens";"3936912580";"Gerhard Regel";"516037773";"2006";
"¬Die¬ Comic-Werkstatt : ein Besuch bei Micky Maus";"383460187X";"Birgit Brandenburg";"1603537384";"2006";
"Leistungsbeurteilung im österreichischen Schulsystem";"3825800741";"Isabella Benischek";"519814851";"2006";
"Mit Kindern das Klassenzimmer gestalten : Kunstprojekte im ... Schuljahr. - 1/2.";"9783486002942";"Stefanie Lohmiller ; Andrea Tonte";"1332322980";"2006";
"Kaufen! statt Lesen! : Literaturkritik in der Krise?";"3835301012";"im Auftr. der Deutschen Literaturkonferenz hrsg. von Gunther Nickel";"516369792";"2006";
"Grundkurs Kunst : [Materialien für den Sekundarbereich II]. - 2. Plastik, Skulptur, Objekt";"3-507-10011-8";"";"1329548604";"2006";
"Einflüsse der Sozialschicht und des Migrationsstatus auf das Verhältnis zwischen Elternhaus und Schule";"3925379851";"Werner Sacher";"520695755";"2006";
"LehrerInnen erforschen ihre Praxis : Beispiele aus dem Lehrgang "Pädagogik und Fachdidaktik für LehrerInnen" (PFL Grundschule und Integration)";"3854879865";"Eva Prammer-Semmler ... (Hrsg.)";"519810589";"2006";
"ABC-Suppe und Wortsalat : Geschichten, Spiele und Gedichte rund um die Sprache";"9783491380813";"Christa Holtei. Mit Bildern von Carola Holland";"501811966";"2006";
"Ich - du - wir: auf dem Weg zum mündigen Bürger : Werte- und Sozialerziehung in den Klassen ...  und  .... - 3/4,1. Werte- und Sozialerziehung in den Klassen 3 und 4";"9783403046639";"";"1333377657";"2006";
"Games for language learning";"0521618223";"Andrew Wright; David Betteridge; Michael Buckby";"504080334";"2006";
"Kulturelle Bildung und Ganztagsschulen: Rahmenbedingungen und Umsetzung von Kooperationen in den Ländern : eine Ländersynopse";"9783924407834";"Viola Kelb. [Hrsg.: Bundesvereinigung Kulturelle Kinder- und Jugendbildung e.V.]";"525895043";"2006";
"Großstadtlyrik";"3150096391";"hrsg. von Waltraud Wende";"1605230073";"2006";
"James Dean lebt! : Jugendkultur und Starkult in Film und Musik 1950 - 2000; Analysen und Unterrichtsmaterialien";"978-3-88476-856-3";"[Atlantische Akademie Rheinland-Pfalz e.V.]. Werner Kremp (Hg.). Unter Mitarb. von Charlotte Gerken und Peter Sommerlad";"1607877023";"2006";
"Rhythmik im Mathematikunterricht";"9783902285461";"Ruth Klicpera";"519512456";"2006";
"Wer ruft denn da?. - Buch.";"3-938735-10-4";"";"134638472X";"2006";
"Vom eigenen Bild zum einfachen Text : Kopiervorlagen in drei Differenzierungsstufen; ... Klasse. - 1/2. 1./2. Klasse";"9783834437310";"Joy Evans ; Jo Ellen Moore";"1344293948";"2006";
"Differenzierung konkret : aus der Praxis für die Praxis ; ein Handbuch für die Grundschule";"3710015847";"Brigitte Palmstorfer";"524642869";"2006";
"Weil sie Künstler sind ... : auf den Spuren einer systemisch-konstruktivistischen Theaterpädagogik in der Theaterarbeit von Menschen mit besonderen Bedürfnissen";"9783861308300";"Lars Göhmann";"513567526";"2006";
"Erdkunde, Wirtschaftskunde, Gemeinschaftskunde : EWG; Realschule für Baden-Württemberg; Klassen .... - 3, Lehrerband.";"3141944989";"";"1335027599";"2006";
"Langenscheidt, Englisch - tierisch leicht : eine witzige Geschichte zum Englischlernen :  [mit Audio-CD]";"3468204256";"von Karen Richardson (Text) und Hans-Jürgen Feldhaus (Ill.)";"50255939X";"2006";
"Leihst du mir deinen Blick? : eine E-Mail-Freundschaft zwischen Jerusalem und Gaza";"3791525794";"Valérie Zenatti. Dt. von Bernadette Ott";"505254190";"2006";
"Methodenkompetenz im Kindergarten";"978-3-7892-1767-8";"Armin Krenz (Hrsg.)";"1612733387";"2006";
"Zeit der Wunder : wenn Kinder in die Pubertät kommen";"9783720528337";"Susanne Becker (Hg.)";"511253389";"2006";
"Nah dran ... : WAG - Wirtschaft, Arbeit, Gesundheit. - 2, [Schülerbuch]. Für die Bildungsstandards Klasse 7 - 9 / 1. Teil";"3507463113";"Sandra Brenner";"1336414537";"2006";
"¬Die¬ Birkennase und Die tollen Trolle : 2 Minimusicals für die Grundschule. - Partitur. Gesamtausgabe";"9783872263704";"Jörg Ehni ; Uli Führe";"1349635200";"2006";
"Imaginaires métissés : en littérature pour la jeunesse";"2760514196";"sous la dir. de NoeÍÌ¬lle Sorin";"1615498664";"2006";
"Them";"0345484401";"Joyce Carol Oates ; introduction by Elaine Showalter ; afterword by Joyce Carol Oates";"1616221402";"2006";
"Fitness mit Kleingeräten";"3891249977";"Alexander Jordan; Maren Schwichtenberg";"587106662";"2006";
"Beiträge zur Didaktik des "Geographie und Wirtschaftskunde"-Unterrichts";"3900830436";"hrsg. von Wolfgang Sitte ... Red.: Helmut Wohlschlägl";"1376470780";"2006";
"Land art";"1854376047";"Ben Tufnell";"513590587";"2006";
"Miteinander reden : Kommunikationspsychologie für Führungskräfte";"3499615312";"Friedemann Schulz von Thun; Johannes Ruppel; Roswitha Stratmann";"528190792";"2006";
"English pronunciation in use : self-study and classroom use. - Buch.";"0-521-00185-4";"";"1337425672";"2006";
"¬Les¬ français";"9782846701525";"Nelly Mauchamp";"571468497";"2006";
"Einfühlung bei Edith Stein : [überraschende Einblicke in die Doktorarbeit einer sensiblen Heiligen]";"395006494X";"Irene Heise";"1625160062";"2006";
"Trust in technology : a socio-technical perspective";"1402042574";"ed. by Karen Clarke ...";"1325703184";"2006";
"Natur und Umwelt spielend entdecken : Forscher und Entdecker im Kindergarten";"3-427-50060-8";"Marianne Jacobs; Clara Linders. [Übers. aus dem Niederländ.: Andrea Kluitmann und Verena Kiefer]";"517112825";"2006";
"Technologie für Bekleidungsberufe. - Grundstufe und Fachstufen ; [Hauptbd.]. Grundstufe und Fachstufen : [mit CD-ROM Digitales Arbeitsheft]";"3823702319";"Fontaine";"1323503617";"2006";
"Fachtagung 3-D-Textilien : 20. Juni 2006, Haus der Wirtschaft, Stuttgart";"";"Veranstalter: [petra knecht] Kommunikationsberatung mit Unterstützung Gesamtverband der deutschen Textil- und Modeberatung e.V.; Informationszentrum Technik, Regierungspräsidium Stuttgart; Funktionstextilien Online; Südwesttextil e.V.; Wirtschaftsministerium Baden-Württemberg";"1327031973";"2006";
"¬Die¬ philosophische Rolltreppe : kleines Lexikon der Denker und ihrer universellen Weltweisheiten";"9783423342919";"Jörg Zittlau";"487455193";"2006";
"Diätetik in der Allergologie : Diätvorschläge, Positionspapiere und Leitlinien zu Nahrungsmittelallergie und anderen Unverträglichkeiten";"3871853658";"hrsg. von Thomas Werfel; Imke Reese";"517000202";"2006";
"¬Den¬ Suchtkreislauf durchbrechen : Hilfen für Kinder aus suchtbelasteten Lebensgemeinschaften";"387581245X";"Frank Lindemann (Hrsg.)";"389988235";"2006";
"Erfindergarten : [Ideen gegen Monotonie und Langeweile im Kindergarten]";"3407563515";"Rita Greine";"512676852";"2006";
"Triathlontraining : vom Jedermann zum Ironman";"3898991075";"Hermann Aschwer";"520573226";"2006";
"Entdeckungen im Zahlenland : ein Projekt zur frühen mathematischen  Bildung. - 2, Leitfaden Zahlenland. Verlaufspläne für die Lerneinheiten 11 bis 22 der Entdeckungen im Zahlenland";"3980969037";"";"1329392752";"2006";
"Entdeckungen im Zahlenland : ein Projekt zur frühen mathematischen  Bildung. - 1, Leitfaden Zahlenland. Verlaufspläne für die Lerneinheiten 1 bis 10 der Entdeckungen im Zahlenland";"3980969029";"von Gerhard Preiß";"1329396359";"2006";
"Personalentwicklung im lernenden Unternehmen";"3896767038";"hrsg. von Rolf Arnold ...";"521025184";"2006";
"Potsdamer Perspektiven einer Systematischen Musikpädagogik";"9783939469322";"Birgit Jank";"133022793X";"2006";
"Hinter eines Baumes Rinde wohnt die Made mit dem Kinde : 8 Chorlieder zu zwei Stimmen";"3872262130";"Heinz Erhardt (Texte). Uli Führe (Musik)";"1324284870";"2006";
"Diskothek / Süddeutsche Zeitung : 1000 Songs, fünfzig Jahre Popmusik. Ausgewählt, kommentiert und präsentiert vom Süddeutsche Zeitung Magazin. 1955 - 2004. - Zwanzig aus 1000. Zwanzig aus 1000 : 20 auserwählte Songs aus 50 Jahren Popmusik";"3-86615-337-6";"Johnny Cash Interpret/in ; Dusty Springfield Interpret/in ; Aretha Franklin Interpret/in ; Stan Getz Interpret/in ; João Gilberto Interpret/in ; Rio Reiser Interpret/in ; Joy Division Interpret/in ; New Order Interpret/in ; Ramones Interpret/in ; Patti Smith Group Interpret/in ; The @Cure Interpret/in ; Depeche Mode Interpret/in ; Pulp Interpret/in ; Violent femmes Interpret/in ; Pixies Interpret/in ; Soundgarden Interpret/in ; Hives Interpret/in ; The @Smiths Interpret/in ; The @Jam Interpret/in ; The @Velvet Underground Interpret/in";"1324406992";"2006";
"Bilingual education : from compensatory to quality schooling";"0805847731";"María Estela Brisk";"482307552";"2006";
"Vocabulario en movimiento : manual de actividades de léxico con tarjetas ; nivel inicial A1 - A2";"8495986701";"Iñaki Tarrés Chamorro; Sergio Leonel Prymak; Arantxa Calderón Puerta";"509331769";"2006";
"Case study research : design and methods";"076192552X";"Robert K. Yin";"1607218461";"2006";
"Bausteine Mensch, Natur und Kultur. - 2, Hauptband.";"3425111124";"";"1344144721";"2006";
"Jo-Jo : Mensch, Natur, Kultur. - 3, [Hauptbd.].";"3464819124";"";"1345205899";"2006";
"Jo-Jo : Mensch, Natur, Kultur. - 4, Hauptband.";"3464819132";"";"1345206380";"2006";
"Oxford Practice Grammar. - Advanced. Advanced : with answers ; [with Practice-Plus CD-ROM]";"019432754X";"George Yule";"1324382171";"2006";
"Oxford Practice Grammar. - Basic. Basic : with answers; [with Practice-Plus CD-ROM]";"0194310221";"Norman Coe, Mark Harrison, Ken Paterson";"1324382236";"2006";
"Steuerung und Eigendynamik der Aussonderung : Vom Umgang des Bildungswesens mit Heterogenität";"3908262739";"Priska Sieber";"1325758604";"2006";
"Bewegung in Bildung und Gesundheit : 50 Jahre Psychomotorik in Deutschland; ausgewählte Zusammenfassungen der Vorträge, Seminare und Workshops des Kölner Kongresses, 6. -8. Oktober 2005";"9783778079157";"Hrsg. Aktionskreis Psychomotorik e.V. Klaus Fischer ...";"1325777315";"2006";
"Überall ist Lesezeit : Lesebuch für Grundschulen. - 3.";"3486831038";"";"1326166956";"2006";
"Netzwerkarbeit erfolgreich gestalten : Orientierungsrahmen und Impulse";"9783763933402";"[Hrsg.: Landesinstitut für Qualifizierung NRW]. [Red. Bearb.]: Ursula Wohlfart. [Autoren: Joachim Bornhoff ...]";"509014895";"2006";
"¬Der¬ Schrecken der Ozeane : die Abenteuer des Freibeuters Buckelbert Hansen, erzählt von seinem treuen Raben Friedrich ; Roman";"340779911X";"Leuw von Katzenstein. Mit Bildern von Thomas M. Müller";"505958783";"2006";
"¬Das¬ Zahlenbuch. - 3, Lehrerbd..";"3122006391";"";"1326816152";"2006";
"¬An¬ introduction to foreign language learning and teaching";"0582290864";"Keith Johnson";"514662034";"2006";
"Study skills in English. - Book.";"0521533856";"Michael J. Wallace";"1321740182";"2006";
"Cartoon und Comic";"9783507100213";"Margot Michaelis";"1624516238";"2006";
"Kinderunfälle : Ursachen und Prävention";"3810033618";"Bernhard Schlag ... (Hrsg.)";"511140673";"2006";
"Let's go : [englisches Unterrichtswerk für Hauptschulen]. - 3, Bildfolien.";"3125826322";"";"1329747941";"2006";
"Let's go : [englisches Unterrichtswerk für Hauptschulen]. - 1, Materialien zum Grundschulübergang. Materialien zum Grundschulübergang";"3125826985";"";"1330314158";"2006";
"Let's go : [englisches Unterrichtswerk für Hauptschulen]. - 2, Workbook. Mit Audio-CD [für Klasse 6]";"3125826276";"";"1330653289";"2006";
"Assessing English language learners : bridges from language proficiency to academic achievement";"0761988882";"Margo Gottlieb";"1601189338";"2006";
"¬The¬ many faces of health, competence and well-being in old age : integrating epidemiological, psychological and social perspectives";"1402041373";"ed. by Hans-Werner Wahl; H. Brenner ... & C. Rott";"1626581592";"2006";
"¬The¬ story of tea";"978-88-530-0467-3";"Eleanor Donaldson";"1620270757";"2006";
"¬The¬ global politics of educational borrowing and lending";"0-8077-4493-X";"ed. by Gita Steiner-Khamsi";"1610826485";"2006";
"Schriftlichkeit - Interdisziplinär : Voraussetzungen, Hindernisse und Fördermöglichkeiten";"9783981087901";"herausgegeben von Argyro Panagiotopoulou, Monika Wintermeyer";"1611301440";"2006";
"Sachunterricht be-greifen : Experimente und Studien für den Sachunterricht in der Primarstufe. - 1. Von Rainer Becker ..";"3896764608";"";"1328134318";"2006";
"Going with the flow : how to engage boys (and girls) in their literacy learning";"0325006431";"Michael W. Smith, Jeffrey D. Wilhelm";"1602134626";"2006";
"¬The¬ wind in the willows. - Buch.";"885300472X";"Kenneth Grahame";"1324730625";"2006";
"¬The¬ Story of football";"88-530-0534-3";"Eleanor Donaldson";"519793943";"2006";
"¬The¬ story of chocolate";"3526524440";"Jennifer Gascoigne. [Ed.: Robert Hill]";"519793536";"2006";
"Let's go : [englisches Unterrichtswerk für Hauptschulen]. - 3, Workbook. Mit Audio-CD [für Klasse 7]";"3125826373";"";"1324892765";"2006";
"Szenisches Spiel in der Schule";"3140222637";"erarb. von Cornelia Ertmer. Hrsg. von Johannes Diekhans";"527352268";"2006";
"Wi(e)der die Armut? : Positionen zu den Millenniumszielen der Vereinten Nationen";"9783888644139";"Katina Kuhn/Marco Rieckmann (Hrsg.)";"1605069663";"2006";
"Identity, education and citizenship - multiple interrelations";"9783631553077";"ed. by Jonas Sprogøe & Thyge Winther-Jensen";"515593761";"2006";
"Science literacy in primary schools and pre-schools";"1402046413";"by Haim Eshach";"511994168";"2006";
"70s fashion : vintage fashion and beauty ads";"3-8228-4937-5";"ed. Jim Heimann; introduction by Laura Schooling";"1612901549";"2006";
"¬Der¬ Anfang aller Dinge : Naturwissenschaft und Religion";"3492047874";"Hans Küng";"570351693";"2006";
"Aus nächster Nähe : Zeitaspekte sozialarbeiterischer Intervention in Familien";"3828891888";"Veszelinka Ildikó Petrov";"522135757";"2006";
"Gender mainstreaming in der offenen Jugendarbeit : ein Praxisprojekt in der Stadt Zürich";"3906413357";"[HSA Luzern]. Monika Denis (Hrsg.)";"515708984";"2006";
"Komplexität und Konfliktpotenzial in der Betreuung von Menschen mit Behinderungen : Reflexion als Form der Bewältigung - eine qualitative Untersuchung";"9783908262794";"Christina Huber";"1332470319";"2006";
"Eigenverantwortliches Handeln im Unterricht - das Trainingsraum-Programm im Urteil von Schülern und Lehrern";"3926013648";"Hans-Jürgen Balz (Hrsg.)";"51559802X";"2006";
"Soziale Gerechtigkeit : gestern - heute - morgen ; eine kritische Betrachtung";"9783830108733";"Rudolf Rickes";"503775177";"2006";
"Soziale Arbeit und Jugendkulturen : Jugendarbeit und die Dialektik von Herrschaft und Emanzipation im Kontext des Systemtheoretischen Paradigmas der Sozialen Arbeit";"3-8288-8991-3";"von Christian Spatscheck";"510469116";"2006";
"Grundlagen sozialpädagogischen Denkens für Studierende der Sozialwirtschaft : eine Einführung";"3-8288-9061-X";"von Bernd Sommer. Unter Mitarb. von Isabel Schlögl";"512345406";"2006";
"Niemanden zurücklassen! Integration durch Schulsozialarbeit an Ganztagsschulen : Beiträge aus der Bundesfachtagung des Kooperationsverbundes Schulsozialarbeit am 27./28. September 2005 in Recklinghausen";"3930813955";"Herbert Bassarak; Bernhard Eibeck (Hrsg.). Veranst.: Bundesarbeitsgemeinschaft Evangelische Jugendsozialarbeit e.V. ...";"510404022";"2006";
"Erziehung durch Musik und Bewegung : Grundlagen und Modelle der Rhythmik für Kindergarten, Vorschule und Grundschule";"3-215-07207-6";"Witoszynkyj; Schindler; Schneider";"1606687549";"2006";
"Kollektives Lernen als Grundlage organisationalen Lernens : eine empirische Fallstudie";"3825897761";"Michael Brodowski";"1601416075";"2006";
"¬Die¬ Mammutmaus sieht wie ein Mammut aus : Gedichte für Kinder";"3446207910";"Peter Maiwald. Gest. und Ill. Hildegard Müller";"510629067";"2006";
"BWL kompakt : Grundwissen Betriebswirtschaftslehre";"3812006464";"Dr. Rödiger Voss";"510286860";"2006";
"Echte Kerle";"3-907588-78-9";"Manuela Olten; ill. von Manuela Olten";"1627163816";"2006";
"Tandem : ein Deutschbuch für das ... Schuljahr. - 3, Arbeitsheft.";"3140271344";"";"1325844470";"2006";
"Exkursionen im Politikunterricht : eine empirische Untersuchung didaktischer und methodischer Aspekte des ausserschulischen Lernortes im gymnasialen Oberstufenunterricht";"3830025386";"Julia K. Schlichting";"1628102187";"2006";
"¬Das¬ Auer-Sprachbuch : Schulbuch für das ... Schuljahr. - 4, Schülerbuch. Schülerbuch";"3403041557";"";"1322911398";"2006";
"Experimentieren mit Forschersinn : vom Kindergarten in die Grundschule ; wie man schnell eine vorbereitete Lernumgebung schafft";"9783865674395";"Heike König";"509410073";"2006";
"Heterogene Argumentationen zur Legitimierung der Didaktik des Sachunterrichts : eine Beschreibung und Analyse der Selbstreflexion von Lehrenden in Niedersachsen";"9783899594973";"Michael Armbruster";"514794496";"2006";
"Lernwerkstatt Feuer, Wasser, Erde & Luft : Kurztexte, Aufgaben, Übungen, sinnerfassendes Lesen, mit Lösungen";"3866326696";"Wolfgang Wertenbroch";"529272822";"2006";
"¬Das¬ Auer-Sprachbuch : Schulbuch für das ... Schuljahr. - 4, Rechtschreibheft. Arbeitsheft";"3403039595";"";"1322913501";"2006";
"¬Das¬ Auer-Sprachbuch : Schulbuch für das ... Schuljahr. - 4, Sprachheft. Arbeitsheft";"3403039625";"";"1322913897";"2006";
"Pusteblume - Das Lesebuch. - 4, Materialien Materialien, Anregungen, Informationen für Lehrerinnen und Lehrer. Materialien, Anregungen, Informationen für Lehrerinnen und Lehrer; [4. Schuljahr]";"3507409577";"";"1322924376";"2006";
"Pusteblume - Das Sprachbuch. - 4, Materialien, Anregungen, Informationen fur Lehrerinnen und Lehrer. Materialien, Anregungen, Informationen fur Lehrerinnen und Lehrer mit CD-ROM : 4. Schuljahr";"3507409674";"";"1322926433";"2006";
"Lernwerkstatt Die Griechen : Kurztexte, Aufgaben, Übungen, sinnerfassendes Lesen, mit Lösungen";"3866326793";"Adrian Klenner & Dirk Witt";"564992399";"2006";
"Impossible bodies, impossible selves: exclusions and student subjectivities";"1-4020-5484-X";"Deborah Youdell";"1416885870";"2006";
"Essay zu einer systemisch-historischen Philosophiedidaktik";"3865823149";"Matthias Bublitz";"513012923";"2006";
"Mathematik heute. - 3, Lösungen.";"9783507836969";"";"1186873140";"2006";
"Deutschbuch : Sprach- und Lesebuch für Realschulen in Baden-Württemberg. - 1. Arbeitsheft : [Klasse 5]; Rechtschreiben, Grammatik, Texte schreiben, Lesetraining, Arbeitstechniken";"9783061000394";"";"1327021935";"2006";
