Titel	Werktitel	Verfasser	Verlag	Verlagsort	Erscheinungsjahr	Erscheinungstermin	ISBN	Auflage	Preis	Seiten	Maß	Begleitmaterial	Reihe	Fußnote	Parallele Ausgabe	Hochschulschriftenvermerk	Datenträger	Wochenverzeichnisnummer	DDC-Sachgruppe	Schlagworte	Vollständige DDC-Notation	Inhaltsverzeichnis	Inhaltstext	Links	Desiderat
Unternehmensmitbestimmung im deutsch-polnischen Rechtsvergleich : eine Untersuchung des deutschen und polnischen Systems der Arbeitnehmerbeteiligung in Gesellschaftsorganen	-	von Karolina Badura	Duncker & Humblot	Berlin	2021	-	9783428181483; 3428181484	-	(Festeinband : EUR 149.90 (DE), EUR 154.10 (AT))	804 Seiten	24 cm, 1300 g	-	Studien zum vergleichenden Privatrecht ; Band 14	-	Erscheint auch als: Online-Ausgabe	Dissertation; Ludwig-Maximilians-Universität München2020	Band	21,A51; 21,N09	340; 330	Mitbestimmungsrecht; Corporate Governance; Rechtsvergleich	344.430188; 344.4380188	https://d-nb.info/1228262128/04	-	-	-
Besteuerung im Wandel : Festschrift für Wolfgang Kessler zum 65. Geburtstag	-	herausgegeben von Norbert Herzig, Guido Förster, Arne Schnitger, Christian Levedag	C.H. Beck	München	2021	-	9783406770586; 3406770584	-	(Festeinband : EUR 139.00 (DE))	XIX, 716 Seiten	25 cm, 1336 g	-	-	-	-	-	Band	21,A51; 21,N07	340; 330	Unternehmen; Internationales Steuerrecht; Kessler, Wolfgang	343.4304	https://d-nb.info/1226979971/04	-	-	-
TzBfG : Kommentar zum Teilzeit- und Befristungsgesetz und weiterer Regelungen aus dem Teilzeit- und Befristungsrecht : BEEG; PflegeZG, FPfZG, ÄÄrbVtrG, WissZeitVG, Tarifvertrag öffentlicher Dienst	TzBfG	von Dr. Jochen Sievers, Vorsitzender Richter am Landesarbeitsgericht Köln	Luchterhand Verlag	Hürth	2021	-	9783472097051; 3472097051	7. Auflage	(Festeinband : EUR 99.00 (DE), EUR 101.80 (AT))	XXII, 775 Seiten	19 cm, 734 g	-	Wolters Kluwer Anwaltspraxis	-	-	-	Band	21,A51; 20,N50	340	Deutschland	344.430125729	https://d-nb.info/1222756900/04	-	-	-
Informations- und Medienrecht : EU-GRCharta, EMRK, GG, MStV, BGB, IFG, VIG, GWB, TKG, TMG u.a. : Kommentar	-	herausgegeben von Prof. Dr. Hubertus Gersdorf (Direktor des Instituts für Medien- und Datenrecht sowie Digitalisierung, Universität Leipzig), Prof. Dr. Boris P. Paal, M. Jur. (Lehrstuhl für Bürgerliches Recht und Informationsrecht, Daten- und Medienrecht, Juristenfakultät, Universität Leipzig, Richter am Landgericht Hamburg) ; Verzeichnis der Bearbeiterinnen und Bearbeiter Kerstin Anklam, LL. M., Prof. Dr. Hubertus Gersdorf, Prof. Dr. Boris P. Paal. M. Jur. [und 60 weitere]	C.H. Beck	München	2021	-	9783406769825; 3406769829	2. Auflage	(Gewebe : EUR 199.00 (DE))	XXXVIII, 2826 Seiten	25 cm, 2124 g	-	-	-	-	-	Band	21,A51; 20,N47	340	Medienrecht; Informationsrecht	343.43099	https://d-nb.info/1221213334/04	-	-	-
Das neue Betreuungsrecht : Einführung, Erläuterungen, Materialien, Schnellübersicht	-	von Richter am Amtsgericht Torsten Joecker	Reguvis	Köln	2021	-	9783846212288; 3846212288	-	(Broschur : EUR 48.00 (DE), EUR 49.40 (AT))	XV, 537 Seiten	25 cm, 843 g	-	-	-	-	-	Band	21,A51; 20,N47	340	Betreuungsrecht	346.43018	https://d-nb.info/122120937X/04	http://deposit.dnb.de/cgi-bin/dokserv?id=acb3d3e8ac09491cbcc1c043ee204ffb&prov=M&dok_var=1&dok_ext=htm	-	-
Handbuch Umwandlungsrecht : für die rechtsberatende und notarielle Praxis	-	herausgegeben von Christiane Stoye-Benk (Notarin), Vladimir Cutura (Rechtsanwalt) ; bearbeitet von Robin Bernlochner (Rechtsanwalt), Vladimir Cutura (Rechtsanwalt), Christiane Stoye-Benk (Notarin) [und 5 weiteren]	C.F. Müller	Heidelberg	2021	-	9783811447318; 3811447319	4., neu bearbeitete Auflage	(Festeinband : EUR 84.00 (DE))	XXX, 472 Seiten	25 cm, 1050 g	-	Wirtschaftsrecht	-	Erscheint auch als: Online-Ausgabe	-	Band	21,A51; 20,N33	340	Gesellschaftsumwandlung	346.4306626	https://d-nb.info/1215117078/04	http://deposit.dnb.de/cgi-bin/dokserv?id=e7c6043e6f904d469334aad991b69e2e&prov=M&dok_var=1&dok_ext=htm	-	-
Handbuch Arzthaftungsrecht : Fehlerkategorien - Schadensregulierung - Mandats- und Verfahrensgestaltung - Praxistipps	-	herausgegeben von Prof. Dr. iur. Alexandra Jorzig, Rechtsanwältin, Fachanwältin für Medizinrecht, Mediatorin im Gesundheitswesen, Professorin für Gesundheitsrecht ; unter Mitarbeit von Michael Arndt, LL. M., Prof. Dr. iur. Alexandra Jorzig [und 22 weiteren]	C.F. Müller	Heidelberg	2021	-	9783811466449; 3811466445	2., neu bearbeitete Auflage	(Festeinband : EUR 99.00 (DE), circa EUR 101.80 (AT))	XXXV, 652 Seiten	25 cm, 1264 g	-	Medizinrecht	-	Erscheint auch als: Online-Ausgabe	-	Band	21,A51; 20,N20	340	Arzthaftung	344.4304121	https://d-nb.info/1209827816/04	-	-	-
Re-Cording Lives : Governing Asylum in Switzerland and the Need to Resolve	-	Ephraim Pörtner	transcript	Bielefeld	2021	-	9783837653496; 3837653498	-	(Broschur : circa EUR 50.00 (DE) (freier Preis), circa EUR 50.00 (AT) (freier Preis), circa CHF 61.00 (freier Preis))	452 Seiten	23 cm, 699 g	-	Sozial- und Kulturgeographie ; volume 41	-	Erscheint auch als: Online-Ausgabe	Dissertation; Universität Zürich2018	Band	21,A51; 20,N19	320; 340	Asylpolitik; Asylverfahren	325.494	https://d-nb.info/1209364867/04	-	-	-
Steuerrecht	-	[Liechtenstein]	Recht & Wirtschaft Verlagsanstalt	Vaduz	2020	-	-	-	-	-	21 cm	-	KODEXplus des liechtensteinischen Rechts	-	-	-	Band	21,A51	340	Steuerrecht	343.43648040263	-	-	-	-
Steuerrecht : Internationales Recht, FATCA, AIA, Abgeltungssteuer	-	Herausgeber: Dr. Peter Nägele, Rechtsanwalt	Recht & Wirtschaft Verlagsanstalt	Vaduz	2020	-	-	Stand 04.02.2020	-	500 Seiten	21 cm	-	KODEXplus des liechtensteinischen Rechts	-	-	-	Band	21,A51	340	-	-	https://d-nb.info/123627458X/04	-	-	-
Verwaltungsrecht VwVfG : Kommentar	-	herausgegeben von Prof. Dr. Friedrich Schoch, Universitätsprofessor an der Albert-Ludwigs-Universität Freiburg; Prof. Dr. Jens-Peter Schneider, Universitätsprofessor an der Albert-Ludwigs-Universität Freiburg	C.H. Beck	München	2020	-	9783406761614	-	Loseblattsammlung : (in 2 Ordner)	Bände (Loseblattsammlung)	25 cm	-	-	Identifizierung der Ressource nach: Stand Juli 2020; Auch als Band 3 und 4 der Gesamtausgabe bezeichnet	-	-	Band	21,A51	340	Deutschland	342.43066	-	-	-	-
Verwaltungsrecht VwVfG : Kommentar	-	herausgegeben von Prof. Dr. Friedrich Schoch, Universitätsprofessor an der Albert-Ludwigs-Universität Freiburg; Prof. Dr. Jens-Peter Schneider, Universitätsprofessor an der Albert-Ludwigs-Universität Freiburg	C.H. Beck	München	2020	-	9783406761614	-	Loseblattsammlung : (in 2 Ordner)	Bände (Loseblattsammlung)	25 cm	-	-	Identifizierung der Ressource nach: Stand Juli 2020; Auch als Band 3 und 4 der Gesamtausgabe bezeichnet	-	-	Band	21,A51	340	Deutschland	342.43066	-	-	-	-
Karteikarten Zivilrecht	-	Hemmer/Wüst	Hemmer/Wüst Verlagsgesellschaft	Würzburg	2012	-	-	-	-	-	15 cm	-	Das Prüfungswissen; Juristisches Repetitorium Hemmer	-	-	-	Karte	21,A51	340	Privatrecht; Prüfungsvorbereitung	346.430076	-	-	-	-
Berufskraftfahrer Kompass	-	-	Verkehrsverlag Fischer; Verkehrsverlag Meixner	Düsseldorf; Eisenstadt	2009	-	-	-	-	-	17 cm	-	-	-	-	-	Band	21,A51	380; 620; 340	Europäische Union; Berufskraftfahrer; Berufliche Fortbildung	388.324044; 629.28333	-	-	-	-
Münchener Prozessformularbuch	-	-	C.H. Beck	München	2003	-	9783406694998; 9783406603006; 9783406576669; 3406498647	[Ausgabe in 7 Bänden]	(Gewebe); 4. Auflage; 3. Auflage; 2. Auflage	7 Bände	25 cm	-	-	-	-	-	Band	21,A51	340	Prozessrecht; Formularsammlung; CD-ROM	347.4305	-	-	-	-
Steuerlehre	-	Huber-Jilg ; Kahl ; Lutz	Verlag Europa-Lehrmittel Nourney, Vollmer GmbH & Co. KG	Haan-Gruiten	1998	-	-	-	-	-	24 cm	-	Fachbuchreihe für wirtschaftliche Bildung	-	-	-	Band	21,A51	S; 330; 340	-	-	-	-	-	-
Der Urkundsbeamte der Geschäftsstelle : Lehrbrief	-	-	Pastyrik; Juristischer Verlag Pegnitz GmbH	Pegnitz	1979	-	-	-	-	-	25 cm	-	-	-	-	-	Band	21,A51	340	Recht; Justizdienst	347.43016	-	-	-	-
Klangwelten für Kinder und Jugendliche : Hörmedien in ästhetische, didaktischer und historischer Perspektive	-	Petra Josting/Matthias Preis (Hgg.)	Kopaed	München	2021	-	9783968480435; 3968480430	-	(Broschur)	285 Seiten	24 cm	-	Kjl & m ; 21	-	-	-	Band	21,A51; 21,N41	800	Kind; Jugend; Auditive Medien; Hörspiel; Hörspielmusik	809.222099282	https://d-nb.info/1246855429/04	-	-	-
Kunst und Religion zwischen Mittelalter und Barock : von Dante bis Bach	-	Jan Rohls	De Gruyter	Berlin; Boston	2021	-	-	-	-	3 Bände	24 cm	-	-	-	-	-	Band	21,A51	700; 800; 230	Künste; Christentum	700.4823; 261.57	-	-	-	-
Pszichiáter ​látott már? : zűrös hősök analízisben	Helden auf der Couch	Claudia Hochbrunn, Andrea Bottlinger ; fordította Csősz Róbert	Athenaeum	Budapest	2021	-	9789632939391	-	(Festeinband)	261 Seiten	19 cm	-	-	-	-	-	Band	21,A51	800; 150	Literarische Gestalt; Literaturpsychologie	809.93351	https://d-nb.info/1242203885/04	-	-	-
Handbook of comics and graphic narratives	-	edited by Sebastian Domsch, Dan Hasler-Forest and Dirk Vanderbeke	De Gruyter	Berlin; Boston	2021	-	9783110446616; 3110446618	-	(Festeinband : EUR 205.60 (AT) (freier Pr.), EUR 199.95 (DE) (freier Pr.), GBP 149.99 (GB) (freier Pr.))	ix, 636 Seiten	25 cm, 1214 g	-	Handbooks of English and American studies ; volume 11; De Gruyter Reference	-	Erscheint auch als: Bundle; Erscheint auch als: Online-Ausgabe; Erscheint auch alsOnline-Ausgabe; Erscheint auch als	-	Band	21,A51; 15,N51	741.5; 800	Comic; Graphic Novel	741.5	https://d-nb.info/1079807233/04	-	-	-
DIN-5008-Kompass : Texte und Briefe professionell gestalten	-	Christiane Gertsen, Gisbert Sauer	Europa-Lehrmittel	Haan	2021	-	9783758521850; 3758521858	1. Auflage	(Broschur : EUR 10.90 (DE))	77 Seiten	18 cm, 80 g	-	-	-	-	-	Band	21,A51; 21,N31	400; 800; 650	-	-	https://d-nb.info/1237977207/04	-	-	-
Literaturwissenschaft : Einführung in ein Sprachspiel	Literaturwissenschaft	Heinrich Bosse, Ursula Renner (Hrsg.)	Rombach Wissenschaft	Baden-Baden	2021	-	9783968217963; 3968217969	3., aktualisierte Auflage	(Broschur : circa EUR 29.00 (DE))	335 Seiten	23 cm, 491 g	-	Intro: Literaturwissenschaft	-	-	-	Band	21,A51; 21,N31	800; 400	Literaturwissenschaft; Methode	801.95	https://d-nb.info/1237839580/04	http://deposit.dnb.de/cgi-bin/dokserv?id=b2cc73b81daa45a1b04158dcc29c0534&prov=M&dok_var=1&dok_ext=htm	-	-
Realismus des Kapitals : marxistische Literaturtheorie im Zeitalter des globalen Kapitalismus	Literatur als Arbeit	Sebastian Schuller	Brill, Wilhelm Fink	Paderborn, Deutschland	2021	-	9783770566440; 3770566440	-	(Festeinband : EUR 159.00 (DE), EUR 163.50 (AT))	VIII, 419 Seiten	25 cm, 850 g	-	Literatur und Ökonomie ; Band 5	-	Erscheint auch als: Online-Ausgabe	Dissertation; Ludwig-Maximilians-Universität München2020	Band	21,A51; 21,N19	800; 330; 320	Marxismus; Literaturtheorie; Globalisierung; Kapitalismus	801	https://d-nb.info/1232743836/04	http://deposit.dnb.de/cgi-bin/dokserv?id=f0ae300b63ce461ba2eca67145124ae8&prov=M&dok_var=1&dok_ext=htm	-	-
Kunst und Religion zwischen Mittelalter und Barock : Das Zeitalter des Barock	-	-	De Gruyter	Berlin; Boston	2021	-	9783110699111; 3110699117	-	(Festeinband : EUR 99.95 (DE), EUR 99.95 (AT))	XI, 815 Seiten	24 cm, 1346 g	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	21,A51; 21,N11	700; 800; 230	-	-	https://d-nb.info/1228885052/04	-	-	-
Kunst und Religion zwischen Mittelalter und Barock : Spätmittelalter und Renaissance	-	-	De Gruyter	Berlin; Boston	2021	-	9783110698930; 3110698935	-	(Festeinband : EUR 99.95 (DE), EUR 99.95 (AT))	XI, 619 Seiten	24 cm, 1057 g	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	21,A51; 21,N11	700; 800; 230	-	-	https://d-nb.info/1228880999/04	-	-	-
Kunst und Religion zwischen Mittelalter und Barock : Reformation und Gegenreformation	-	-	De Gruyter	Berlin; Boston	2021	-	9783110699104; 3110699109	-	(Festeinband : EUR 99.95 (DE), EUR 99.95 (AT))	XI, 710 Seiten	24 cm, 1193 g	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	21,A51; 21,N11	700; 800; 230	-	-	https://d-nb.info/1228880840/04	-	-	-
Die schönsten Weihnachtsgeschichten : neu gelesen und interpretiert	-	Felix Hornstein	Patrimonium-Verlag	Aachen	2020	-	9783864171420; 3864171423	1. Auflage	(Broschur : EUR 14.80 (DE), EUR 15.30 (AT))	238 Seiten	21 cm, 290 g	-	Patrimonium Poeticum	-	-	-	Band	21,A51; 20,N42	800; B	-	-	https://d-nb.info/1219009946/04	-	-	-
Freundinnen fürs Leben	Freundinnen fürs Leben	-	arsEdition	München	2020	-	9783845838717; 384583871X	1. Auflage	(Aufsteller mit Folienprägung : EUR 10.00 (DE), EUR 10.30 (AT), CHF 14.90 (freier Preis))	circa 110 ungezählte Seiten	15 x 15 cm, 247 g	-	-	-	-	-	Band	21,A51; 20,N11	800; B	-	-	-	http://deposit.dnb.de/cgi-bin/dokserv?id=b791c186505949f8907b67e1cd1ca68a&prov=M&dok_var=1&dok_ext=htm	-	-
Drei Nächte lang gehörst du nur mir	Bidding on her bossMillionaire in a StetsonCarrying the los heir's child	Rachel Bailey ; Übersetzung: Susann Rauhaus	CORA Verlag	Hamburg	2021	-	-	Erste Neuauflage	-	383 Seiten	19 cm	-	Baccara exklusiv ; Band 212 = 21, 12. Stürmische Herzen	-	-	-	Band	21,A51	810; B	-	-	https://d-nb.info/1246910152/04	-	-	-
Ritter meines Verlangens : 2 in 1	-	Anne Herries, Margaret Moore ; Übersetzung: Meriam Pstross, Martin Hillebrand	CORA Verlag	Hamburg	2021	-	-	-	-	511 Seiten	19 cm	-	Historical exklusiv ; Band 92 = 21, 6	-	-	-	Band	21,A51	810; B; 820	-	-	https://d-nb.info/1246910004/04	-	-	-
Heiße Liebesnacht auf der Ranch	The marriage he demands	Brenda Jackson ; Übersetzung: Victoria Werner	CORA Verlag	Hamburg	2021	-	-	Deutsche Erstausgabe	-	143 Seiten	19 cm	-	Baccara ; Band 2211 = 23, 21 (2)	-	-	-	Band	21,A51	810; B	-	-	-	-	-	-
Sexy Skandal um den Boss	Scandalizing the CEO	Yvonne Lindsay ; Übersetzung: Roswitha Enright	CORA Verlag	Hamburg	2021	-	-	Deutsche Erstausgabe	-	143 Seiten	19 cm	-	Baccara ; Band 2210 = 23, 21 (1)	-	-	-	Band	21,A51	810; B	-	-	-	-	-	-
Die Fortunes: Erfolg & Leidenschaft : 3 Romane	-	Peggy Moreland, Bronwyn Jameson, Charlens Sands ; Übersetzung: Silke Schuff	CCORA Verlag	Hamburg	2021	-	-	Erste Neuauflage	-	383 Seiten	19 cm	-	Julia ; Band 163 = 21, 10	-	-	-	Band	21,A51	810; B	-	-	https://d-nb.info/1243534516/04	-	-	-
Handbook of American romanticism	-	edited by Philipp Löffler, Clemens Spahr, and Jan Stievermann	De Gruyter	Berlin	2021	-	9783110590753; 3110590751	-	(Festeinband : EUR 199.95 (DE) (freier Preis), EUR 199.95 (DE) (freier Preis), EUR 199.95 (AT) (freier Preis), EUR 199.95 (AT) (freier Preis))	IX, 600 Seiten	25 cm, 1172 g	-	Handbooks of English and American studies ; volume 14; De Gruyter reference	-	Erscheint auch alsOnline-Ausgabe; Erscheint auch als: Online-Ausgabe; Erscheint auch als	-	Band	21,A51; 18,N08	810	Literatur; Romantik	810.9003	https://d-nb.info/1152831321/04	-	-	-
Eingeholt : Thriller	Daylight	David Baldacci ; ins Deutsche übertragen von Norbert Jakober	Heyne	München	2021	-	9783453273450; 3453273451	-	(Gewebe : EUR 22.00 (DE), EUR 22.70 (AT), CHF 30.15, CHF 30.90 (freier Preis))	510 Seiten	22 cm, 705 g	-	-	-	Erscheint auch als: Online-Ausgabe; Erscheint auch als	-	Band	21,A51; 21,N32	810; B	-	-	-	http://deposit.dnb.de/cgi-bin/dokserv?id=ef032fadb6c6414da6a28351ac61a928&prov=M&dok_var=1&dok_ext=htm	-	-
Das Talent : Roman	Sooley	John Grisham ; aus dem Amerikanischen von Imke Walsh-Araya	Heyne	München	2021	-	9783453273757; 3453273753	-	(Festeinband : EUR 22.00 (DE), EUR 22.70 (AT), CHF 30.15, CHF 30.90 (freier Preis))	397 Seiten	22 cm, 584 g	-	-	-	Erscheint auch als: Online-Ausgabe; Erscheint auch als	-	Band	21,A51; 21,N32	810; B	-	-	-	http://deposit.dnb.de/cgi-bin/dokserv?id=30ef21c110114145a74d2f0acd8253cd&prov=M&dok_var=1&dok_ext=htm	-	-
Oh, William! : Roman	Oh William!	Elizabeth Strout ; aus dem Amerikanischen von Sabine Roth	Luchterhand	München	2021	-	9783630875309; 3630875300	1. Auflage	(Festeinband : circa EUR 20.00 (DE), circa EUR 20.60 (AT), circa CHF 28.20, circa CHF 28.90 (freier Preis))	221 Seiten	22 cm, 394 g	-	-	-	Erscheint auch als: Online-Ausgabe; Erscheint auch als	-	Band	21,A51; 21,N32	810; B	-	-	-	http://deposit.dnb.de/cgi-bin/dokserv?id=279b877742164593b3e73996ca238687&prov=M&dok_var=1&dok_ext=htm	-	-
Q : in dieser Welt ist Perfektion alles : Roman	Master class	Christina Dalcher ; aus dem amerikanischen Englisch von Michaela Grabinger	FISCHER	Frankfurt am Main	2021	-	9783596704538; 3596704537	Deutsche Erstausgabe	(Broschur : EUR 16.99 (DE), EUR 17.50 (AT))	381 Seiten	22 cm, 413 g	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	21,A51; 21,N17	810; B	-	-	-	http://deposit.dnb.de/cgi-bin/dokserv?id=0095c26f05b9402296a38592000e654b&prov=M&dok_var=1&dok_ext=htm	-	-
Die tristen Tage von Coney Island : Geschichten	Coney Island's failing days(Zusammenstellung)	Stephen Crane ; herausgegeben und mit einem Nachwort von Wolfgang Hochbruck ; übersetzt von Bernd Gockel	Pendragon	Bielefeld	2021	-	9783865327628; 3865327621	-	(Festeinband : EUR 24.00 (DE), EUR 24.70 (AT))	271 Seiten	21 cm	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	21,A51; 21,N17	810; B	-	-	https://d-nb.info/123172918X/04	-	-	-
Die vier Winde : Roman	The four winds	Kristin Hannah ; aus dem Anmerikanischen von Gabriele Weer-Jarić	Rütten & Loening	Berlin	2021	-	9783352009433; 3352009430	1. Auflage	(Festeinband : EUR 20.00 (DE), EUR 20.60 (AT))	527 Seiten	22 cm, 707 g	-	-	-	Erscheint auch als: Online-Ausgabe; Erscheint auch als: Tonträger-Ausgabe	-	Band	21,A51; 21,N16	810; B	-	-	-	http://deposit.dnb.de/cgi-bin/dokserv?id=f157c2d6c4d44b6d9b8cb7cdb85526e6&prov=M&dok_var=1&dok_ext=htm	-	-
Schwierige Frauen : Stories	Difficult women	Roxane Gay ; aus dem Amerikanischen von Anne Spielmann	btb	München	2021	-	9783442759163; 3442759161	1. Auflage	(Festeinband : EUR 20.00 (DE), EUR 20.60 (AT))	317 Seiten	22 cm, 528 g	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	21,A51; 21,N15	810; B	-	-	https://d-nb.info/1230765964/04	http://deposit.dnb.de/cgi-bin/dokserv?id=df5030ab9c4040d88787745903d2dff3&prov=M&dok_var=1&dok_ext=htm	-	-
Die Hexe und der Winterzauber : Roman	Winter of the witch	Katherine Arden ; aus dem Amerikanischen übersetzt von Michael Pfingstl	Heyne	München	2021	-	9783453321595; 3453321596	Deutsche Erstausgabe	(Broschur : EUR 16.99 (DE), EUR 17.50 (AT), CHF 23.32, CHF 23.90 (freier Preis))	525 Seiten	21 cm, 662 g	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	21,A51; 21,N15	810; B	-	-	-	http://deposit.dnb.de/cgi-bin/dokserv?id=93471b5e5cfa4361a341ea8f8fb2da2e&prov=M&dok_var=1&dok_ext=htm	-	-
Der Zeitindex : Roman	The scorpion	Christian Cantrell ; aus dem Amerikanischen von Norbert Stöbe	Wilhelm Heyne Verlag	München	2021	-	9783453320604; 3453320603	Deutsche Erstausgabe	(Festeinband : EUR 16.00 (DE), EUR 16.50 (AT), CHF 22.34, CHF 22.90 (freier Preis))	430 Seiten	21 cm, 544 g	-	-	"Thriller" - Umschlag	Erscheint auch als: Online-Ausgabe; Erscheint auch als	-	Band	21,A51; 21,N15	810; B	-	-	https://d-nb.info/1230761748/04	http://deposit.dnb.de/cgi-bin/dokserv?id=46c69797dbd74b158271671ad4ff358a&prov=M&dok_var=1&dok_ext=htm	-	-
Die Malloreon-Saga : Die Herren des Westens : Roman	Guardians of the west	David Eddings ; Deutsch von Lore Strassl	Blanvalet	München	2021	-	9783734162985; 373416298X	1. Auflage	(Broschur : circa EUR 12.00 (DE), circa EUR 12.40 (AT), circa CHF 17.46, circa CHF 17.90 (freier Preis))	567 Seiten	19 cm, 491 g	-	-	-	Erscheint auch als: Online-Ausgabe; Erscheint auch als	-	Band	21,A51; 21,N14	810; B	-	-	-	http://deposit.dnb.de/cgi-bin/dokserv?id=d13b8f9ca7ab42a39d5e8c439a158ff7&prov=M&dok_var=1&dok_ext=htm	-	-
Abendruh : Thriller	Last to die	Tess Gerritsen ; Deutsch von Andreas Jäger	Blanvalet	München	2021	-	9783734110702; 373411070X	Neuausgabe	(Broschur : circa EUR 11.00 (DE), circa EUR 11.40 (AT), circa CHF 16.49, circa CHF 16.90 (freier Preis))	412 Seiten	19 cm, 343 g	-	-	-	Erscheint auch als: Druck-Ausgabe; Erscheint auch als: Online-Ausgabe; Erscheint auch als	-	Band	21,A51; 21,N14	810; B	-	-	-	http://deposit.dnb.de/cgi-bin/dokserv?id=0a4e77c84bc94d68a8aaa71f0f0113d4&prov=M&dok_var=1&dok_ext=htm	-	-
Der Gin-Trailer : Roman	The gin closet	Leslie Jamison ; aus dem Englischen von Kirsten Riesselmann	Suhrkamp	[Berlin]	2021	-	9783518471531; 3518471538	Erste Auflage	(Broschur : EUR 12.00 (DE), EUR 12.40 (AT), CHF 17.90 (freier Preis))	348 Seiten	19 cm, 246 g	-	Suhrkamp Taschenbuch ; 5153	-	-	-	Band	21,A51; 20,N43	810; B	-	-	-	http://deposit.dnb.de/cgi-bin/dokserv?id=94c32e9fc5904b6e828c5425d8a6054a&prov=M&dok_var=1&dok_ext=htm; http://deposit.dnb.de/cgi-bin/dokserv?id=94c32e9fc5904b6e828c5425d8a6054a&prov=M&dok_var=2&dok_ext=htm	-	-
Gegen den bittersten Sturm : Roman	Eastern lights	Brittainy C. Cherry ; ins Deutsche übertragen von Wiebke Pilz	LYX	Köln	2021	-	9783736314672; 3736314671	-	(Broschur : EUR 12.90 (DE), EUR 13.30 (AT), CHF 16.90 (freier Preis))	443 Seiten	22 cm	-	-	-	Erscheint auch als: Online-Ausgabe; Erscheint auch als	-	Band	21,A51; 20,N18	810; B	-	-	-	http://deposit.dnb.de/cgi-bin/dokserv?id=6171138c5a1a409295e27a6cb70eeacc&prov=M&dok_var=1&dok_ext=htm	-	-
Ist für immer nicht viel schlimmer? : Roman	You deserve each other	Sarah Hogle ; Deutsch von Nadine Lipp	Blanvalet	München	2021	-	9783734109164; 3734109167	1. Auflage	(Broschur : circa EUR 10.00 (DE), circa EUR 10.30 (AT), circa CHF 14.50 (freier Preis))	444 Seiten	19 cm, 381 g	-	-	-	Erscheint auch als: Online-Ausgabe	-	Band	21,A51; 20,N17	810; B	-	-	-	http://deposit.dnb.de/cgi-bin/dokserv?id=d07ea56a6bac4fffbe717a132f9693f1&prov=M&dok_var=1&dok_ext=htm	-	-
Der unsichtbare Freund : Roman	Imaginary friend	Stephen Chbosky ; aus dem Amerikanischen von Friedrich Mader	Heyne	München	2021	-	9783453424739; 3453424735	Vollständige Taschenbuchausgabe	(Broschur : EUR 12.99 (DE), EUR 13.40 (AT), CHF 18.90 (freier Preis))	911 Seiten	19 cm, 583 g	-	-	-	Erscheint auch als: Druck-Ausgabe; Erscheint auch als: Online-Ausgabe; Erscheint auch als	-	Band	21,A51; 20,N17	810; B	-	-	-	http://deposit.dnb.de/cgi-bin/dokserv?id=475eb01a315b436f8a1196ea537408be&prov=M&dok_var=1&dok_ext=htm	-	-
Weihnachten in Willow Creek : Roman	-	Christopher Ross	Weltbild	Augsburg	2020	-	9783963773433	-	(Festeinband)	367 Seiten	20 cm	-	-	"Ein Willow-Creek-Roman" - Umschlag	-	-	Band	21,A51	810; B	-	-	-	-	-	-
Descended suns resuscitate	-	Avalon Brantley	Zagava	[Düsseldorf]	2020	-	9783945795330; 3945795338	First paperback edition	(Broschur : EUR 19.00 (DE), EUR 19.60 (AT))	177 Seiten	23 cm	-	-	-	-	-	Band	21,A51; 19,N26	810; B	-	-	https://d-nb.info/1188898019/04	-	-	-
Ritter meines Verlangens : 2 in 1	-	Anne Herries, Margaret Moore ; Übersetzung: Meriam Pstross, Martin Hillebrand	CORA Verlag	Hamburg	2021	-	-	-	-	511 Seiten	19 cm	-	Historical exklusiv ; Band 92 = 21, 6	-	-	-	Band	21,A51	810; B; 820	-	-	https://d-nb.info/1246910004/04	-	-	-
Nur dieser eine Tanz mit dir?	Awakening his shy CinderellaChristmas in the king's bedCinderella's Christmas secretCrowning his innocent assistant	Sophie Pembroke ; Übersetzung: Susann Rauhaus	CORA Verlag	Hamburg	2021	-	-	Deutsche Erstausgabe	-	447 Seiten	19 cm	-	Julia ; Band 509 = 21, 12	-	-	-	Band	21,A51	820; B	-	-	https://d-nb.info/1246909928/04	-	-	-
Stürmisches Wiedersehen mit Dr. Jameson	Reunited by their secret daughterUnlocking the ex-army doc's heartReunited with her hot-shot surgeon	Emily Forbes ; Übersetzung: Michaela Rabe	CORA Verlag	Hamburg	2021	-	-	Deutsche Erstausgabe	-	383 Seiten	19 cm	-	Julia ; Band 158 = 21, 12	-	-	-	Band	21,A51	820; B	-	-	https://d-nb.info/124690988X/04	-	-	-
